MsgID,MsgBody,roberta_sentiment
'kyh1ir9',much order think go road trip month sure connect starlink roam car get answer inverter starlink,Neutral
'kyh2b0z',go last day deal,Neutral
'kyh30bd',sure try say us fiber gpon cost save passive split replace economic advantage pon mostly lose rural areas lot rural providers deploy active ethernet,Neutral
'kyh36dk',saw back yard last night tucson,Neutral
'kyh375z',yes starlink us unofficial,Neutral
'kyh3i95',ticket replace stuff year warranty fail worth try many complain customer service find helpful,Neutral
'kyh3ics',think venezuela potential official starlink availability,Neutral
'kyh3rzk',plan u go curious regular residential one priority one,Neutral
'kyh43vx',book thats take week new stuff arrive,Neutral
'kyh5q8x',mean gpon others cheap scale city full multifamily mid highrises,Neutral
'kyh63w9',context tweet first post video visualize undersea cable https internet network run submarine cable submarine line world total million km time distance earth moon https except starlink communicate via space lasers light travel faster vacuum fiber optics direct path rather follow outline continents starlink much faster time ocean cable important https majority starlinks connections still rely grind station communicate satellite relay signal satellite back earth mean full potential space laser communication system yet https lasers currently use satellite see user terminal grind station simultaneously ocean lasers future software upgrade evaluate whether lowest latency via immediately go grind station traverse first via laser video clip visualization starlink satellite orbit https starlink satellite network look like https space lasers operation,Neutral
'kyh68iq',modify several gen starlinks wasnt really want reverse engineer things sway far stock setup work ems healthcare agencies although direct dc option nice configuration isnt standard easy find online go inverter route gen happy result irk much bulk keep look huge power supply standard connector end ultimately buy project box cable glands cigarette lighter power cord dc upconverter pigtails power plug build dc power supply simply drop replacement starlink ac power supply simple build ill include items purchase youd like build one toggle switch https https project box https https cable glands kit https https power supply cord https https power pigtails https https dc voltage converter https https,Neutral
'kyh6vey',know right sit carpark look neighbor balconies like damn get pay haha good think business connection though unfortunately obstruct dishies wouldnt feel confident enough try lol maybe could get roof mount,Neutral
'kyh81ey',see like florida tourist season,Neutral
'kyh8a8j',cheap deploy us much red tape regulations easements hoas pole rent franchise agreements landlords want line pocket etc initial fios deployment cost verizon billions dollars deploy almost exclusively urban areas verizon want deploy fios early cities also want huge upfront payments community center swim pool etc thankfully practice mostly come end,Neutral
'kyh9fvi',go overcast,Neutral
'kyh9i9h',legally anyway,Neutral
'kyh9yl3',sure case even hours use heavy get anywhere maybe mbps mbps middle night get well mbps,Neutral
'kyhas8v',probably wont make much difference web browse like content people use cache fairly close via service like cloudflare akamai bigger players worldwide data center course might help game servers wrong continent though,Neutral
'kyhbqt0',mean obviously thats ill curious hopefully well outside watch eclipse cellular starlink mean emergency service unlikely need still,Neutral
'kyhcb4m',surveillance van,Neutral
'kyhcdp9',eclipse physically cause things load network increase due people communicate eclipse different earthquake natural disaster event concert load increase cell tower,Neutral
