MsgID,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,MsgBody,vader_sentiment,roberta_sentiment
'kyh1ir9',0.0,0.867,0.133,0.3182,0.023592742159962654,0.8572362661361694,0.11917105317115784,much order think go road trip month sure connect starlink roam car get answer inverter starlink,Positive,Neutral
'kyh2b0z',0.0,1.0,0.0,0.0,0.08584695309400558,0.7796715497970581,0.13448144495487213,go last day deal,Neutral,Neutral
'kyh30bd',0.083,0.55,0.367,0.8074,0.10828801244497299,0.7829746007919312,0.10873738676309586,sure try say us fiber gpon cost save passive split replace economic advantage pon mostly lose rural areas lot rural providers deploy active ethernet,Positive,Neutral
'kyh36dk',0.0,1.0,0.0,0.0,0.021723778918385506,0.9110856652259827,0.0671905130147934,saw back yard last night tucson,Neutral,Neutral
'kyh375z',0.0,0.526,0.474,0.4019,0.018297962844371796,0.7202380299568176,0.26146405935287476,yes starlink us unofficial,Positive,Neutral
'kyh37cq',0.17,0.566,0.264,0.25,0.014517242088913918,0.26010042428970337,0.7253822684288025,average download upload way better thwn download upload get cable internet yes live bfe kentucky,Positive,Positive
'kyh3i95',0.29,0.483,0.227,-0.3182,0.3640338182449341,0.52143794298172,0.11452823877334595,ticket replace stuff year warranty fail worth try many complain customer service find helpful,Negative,Neutral
'kyh3ics',0.0,1.0,0.0,0.0,0.02934854105114937,0.9253358244895935,0.04531567171216011,think venezuela potential official starlink availability,Neutral,Neutral
'kyh3rzk',0.0,0.753,0.247,0.3182,0.08363727480173111,0.8390958905220032,0.0772668644785881,plan u go curious regular residential one priority one,Positive,Neutral
'kyh3zvl',0.2,0.444,0.356,0.2732,0.02998625859618187,0.2910926938056946,0.6789209842681885,do worth try hope get soon though go insane,Positive,Positive
'kyh43vx',0.0,1.0,0.0,0.0,0.01180407777428627,0.7030659914016724,0.28512996435165405,book thats take week new stuff arrive,Neutral,Neutral
'kyh4o8z',0.144,0.717,0.139,-0.2163,0.5061141848564148,0.44612425565719604,0.047761596739292145,poor comprehension skills clearly say second drop connection every hours even minutes always go unnoticed connection reestablish notice therefore create guise seamless flawless work connection even technically however past days get second drop connection every minutes mean everything get interrupt drop get disconnect game disconnect voice call etc whereas second connection drop get noticeable interference unless second still second drop dont get disconnect either game voice call go silent sound jumble moment reestablish noticeably happen every hours nothing complain clearly need water test since cant grasp fact perfectly work obstruct connection nearly one whole year past days neighbor stick dishy near mine like umbrella also cant seem grasp fact available option neighbour relocate dish anywhere per op clearly state wait landlord authorise roof mount please go obviously trigger try solve connection issue multiple hostile comment connection issue solve neighbor dishy bet suck hear huh,Negative,Negative
'kyh5q8x',0.0,1.0,0.0,0.0,0.013443768955767155,0.7786887884140015,0.20786742866039276,mean gpon others cheap scale city full multifamily mid highrises,Neutral,Neutral
'kyh63w9',0.021,0.943,0.035,0.1779,0.035606544464826584,0.7669956088066101,0.19739779829978943,context tweet first post video visualize undersea cable https internet network run submarine cable submarine line world total million km time distance earth moon https except starlink communicate via space lasers light travel faster vacuum fiber optics direct path rather follow outline continents starlink much faster time ocean cable important https majority starlinks connections still rely grind station communicate satellite relay signal satellite back earth mean full potential space laser communication system yet https lasers currently use satellite see user terminal grind station simultaneously ocean lasers future software upgrade evaluate whether lowest latency via immediately go grind station traverse first via laser video clip visualization starlink satellite orbit https starlink satellite network look like https space lasers operation,Positive,Neutral
'kyh68iq',0.072,0.834,0.093,0.5507,0.07791684567928314,0.6082828044891357,0.3138003349304199,modify several gen starlinks wasnt really want reverse engineer things sway far stock setup work ems healthcare agencies although direct dc option nice configuration isnt standard easy find online go inverter route gen happy result irk much bulk keep look huge power supply standard connector end ultimately buy project box cable glands cigarette lighter power cord dc upconverter pigtails power plug build dc power supply simply drop replacement starlink ac power supply simple build ill include items purchase youd like build one toggle switch https https project box https https cable glands kit https https power supply cord https https power pigtails https https dc voltage converter https https,Positive,Neutral
'kyh6vey',0.211,0.531,0.258,0.4717,0.2006019949913025,0.5192398428916931,0.2801581621170044,know right sit carpark look neighbor balconies like damn get pay haha good think business connection though unfortunately obstruct dishies wouldnt feel confident enough try lol maybe could get roof mount,Positive,Neutral
'kyh81ey',0.0,0.615,0.385,0.3612,0.045296575874090195,0.8313380479812622,0.12336540222167969,see like florida tourist season,Positive,Neutral
'kyh8a8j',0.0,0.779,0.221,0.8176,0.06035059690475464,0.6395413875579834,0.3001079559326172,cheap deploy us much red tape regulations easements hoas pole rent franchise agreements landlords want line pocket etc initial fios deployment cost verizon billions dollars deploy almost exclusively urban areas verizon want deploy fios early cities also want huge upfront payments community center swim pool etc thankfully practice mostly come end,Positive,Neutral
'kyh8z1q',1.0,0.0,0.0,-0.3182,0.5528025031089783,0.413784921169281,0.03341257572174072,forbid,Negative,Negative
'kyh9fvi',0.0,1.0,0.0,0.0,0.20132125914096832,0.6639620065689087,0.13471673429012299,go overcast,Neutral,Neutral
'kyh9i9h',0.0,0.417,0.583,0.1027,0.2776089906692505,0.6121271848678589,0.11026384681463242,legally anyway,Positive,Neutral
'kyh9yl3',0.0,0.761,0.239,0.5267,0.0309994388371706,0.8053070902824402,0.1636933833360672,sure case even hours use heavy get anywhere maybe mbps mbps middle night get well mbps,Positive,Neutral
'kyhag24',0.604,0.396,0.0,-0.7269,0.5633051991462708,0.4159802496433258,0.02071451209485531,doubt telstra go bankrupt anytime soon,Negative,Negative
'kyhahx7',0.0,0.286,0.714,0.3612,0.6772287487983704,0.28642839193344116,0.03634290397167206,like expensive,Positive,Negative
'kyhas8v',0.08,0.722,0.198,0.5574,0.3285088837146759,0.5767773389816284,0.09471377730369568,probably wont make much difference web browse like content people use cache fairly close via service like cloudflare akamai bigger players worldwide data center course might help game servers wrong continent though,Positive,Neutral
'kyhaske',0.0,0.75,0.25,0.4576,0.003568874439224601,0.08870451152324677,0.9077266454696655,really appreciate suggestion much car go previous sine wave inverter,Positive,Positive
'kyhbqt0',0.212,0.51,0.278,0.1779,0.043186020106077194,0.6461611986160278,0.31065279245376587,mean obviously thats ill curious hopefully well outside watch eclipse cellular starlink mean emergency service unlikely need still,Positive,Neutral
'kyhc2j4',0.0,0.707,0.293,0.4404,0.003473907010629773,0.18201221525669098,0.8145138621330261,forecast us good anywhere except maine https https,Positive,Positive
'kyhcb4m',0.0,1.0,0.0,0.0,0.14760710299015045,0.7860741019248962,0.06631871312856674,surveillance van,Neutral,Neutral
'kyhcdp9',0.145,0.603,0.252,0.25,0.28849828243255615,0.6674932241439819,0.0440085306763649,eclipse physically cause things load network increase due people communicate eclipse different earthquake natural disaster event concert load increase cell tower,Positive,Neutral
'kyhcjur',0.0,0.761,0.239,0.296,0.3742762804031372,0.5323070883750916,0.09341659396886826,look hochatown ok tourist destination infratructure way behind,Positive,Neutral
'kyhcmuz',0.0,1.0,0.0,0.0,0.021645599976181984,0.47916197776794434,0.49919235706329346,address could work,Neutral,Positive
'kyhdra6',0.067,0.933,0.0,-0.0191,0.23547564446926117,0.7327536940574646,0.03177066892385483,ip address assignment geolocked region service service address groundstation location doesnt matter dictate ip address assign,Neutral,Neutral
'kyhe89o',0.516,0.484,0.0,-0.4939,0.5290762782096863,0.45553910732269287,0.0153845539316535,much wind take damage,Negative,Negative
'kyhe9cj',0.0,0.915,0.085,0.3612,0.03528917208313942,0.8659254908561707,0.09878536313772202,control seem like broad categorization know expertise theyre specifically look position entail context work automation specifically container orchestration aws host try get gauge specific areas focus youll deal,Positive,Neutral
'kyheo0v',0.0,1.0,0.0,0.0,0.17501738667488098,0.7575938701629639,0.06738869845867157,enough people network network become congest enough call go suggest area could recive visitors vast majority concentrationed along path totality population entire county,Neutral,Neutral
'kyhf563',0.0,0.905,0.095,0.2732,0.020876066759228706,0.7350702881813049,0.2440536618232727,responsibilities design develop manage automation project include initial factory ideation machine creation proof rate capability also architect write debug plc code,Positive,Neutral
'kyhgs6l',0.0,0.952,0.048,0.2023,0.02378670684993267,0.46677666902542114,0.5094366073608398,inverter option work fine im understand comment much car involve less inverter starlink power supply starlink router vs diy dc power supply shorter cable starlink power supply starlink router photos two different configurations https https https https,Positive,Positive
'kyhgvlm',0.0,1.0,0.0,0.0,0.450553297996521,0.5136260390281677,0.03582068532705307,dont options app check update isnt one,Neutral,Neutral
'kyhi61a',0.0,0.526,0.474,0.743,0.007768033538013697,0.14398127794265747,0.848250687122345,could share six neighbour still great experience fraction cost,Positive,Positive
'kyhjpv1',0.0,1.0,0.0,0.0,0.03897511959075928,0.8873177766799927,0.07370704412460327,rate plan example priority plan show data gen along gen,Neutral,Neutral
'kyhjuv3',0.033,0.617,0.35,0.9964,0.03208225592970848,0.32702505588531494,0.6408926248550415,congratulations new opportunity interest transparency zero experience areas id provide suggestions background back thats style give fact ive numerous interview involve hire manager senior engineer probably thing id say really generic advice id give anyone walk interview little bite confidence good thing carefully course dont want come across wrong way remember always perfectly okay dont know answer something ive make habit years extremely transparent question come something insufficient background answer sufficient precision eager learn gap show enthusiasm willingness grow learn might need little brush youd surprise many company will invest employee clearly capable enthusiastic will learn mean authority subject others might great suggestions depend company culture ive fortunate enough work company focus employee retention provide growth opportunities express sincere interest expand horizons always will invest additional train require work last years employer multiple different roles increase youve get leg educational background fantastic im school hard knock self teach ojt make way sr principal engineer lot hard work dedication best luck whatever lie ahead journey,Positive,Positive
'kyhlk0m',0.0,0.492,0.508,0.4754,0.0036068493500351906,0.05416439101099968,0.9422287344932556,flo thats really helpful,Positive,Positive
